SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Thu Oct 10 13:54:52 EDT 2019
User: surp
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+H05261
Integration Time (usec): 150000 (USB2+H05261)
Spectra Averaged: 1 (USB2+H05261)
Boxcar Smoothing: 0 (USB2+H05261)
Correct for Electrical Dark: No (USB2+H05261)
Strobe/Lamp Enabled: No (USB2+H05261)
Correct for Detector Non-linearity: No (USB2+H05261)
Correct for Stray Light: No (USB2+H05261)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
0.00	344.06
1.00	344.06
2.00	344.06
3.00	348.74
4.00	294.91
5.00	276.18
6.00	322.99
7.00	278.52
8.00	245.76
9.00	220.01
10.00	313.63
11.00	269.16
12.00	184.90
13.00	273.84
14.00	322.99
15.00	283.20
16.00	287.89
17.00	262.14
18.00	217.67
19.00	287.89
20.00	278.52
21.00	278.52
22.00	358.10
23.00	372.15
24.00	334.70
25.00	409.59
26.00	379.17
27.00	337.04
28.00	461.09
29.00	437.68
30.00	449.38
31.00	423.64
32.00	472.79
33.00	517.26
34.00	444.70
35.00	393.21
36.00	416.62
37.00	407.25
38.00	433.00
39.00	463.43
40.00	472.79
41.00	514.92
42.00	454.06
43.00	482.15
44.00	475.13
45.00	521.94
46.00	498.53
47.00	456.40
48.00	472.79
49.00	390.87
50.00	428.32
51.00	475.13
52.00	521.94
53.00	603.86
54.00	482.15
55.00	496.19
56.00	498.53
57.00	402.57
58.00	407.25
59.00	479.81
60.00	493.85
61.00	496.19
62.00	393.21
63.00	526.62
64.00	479.81
65.00	540.66
66.00	512.58
67.00	477.47
68.00	449.38
69.00	430.66
70.00	454.06
71.00	470.45
72.00	545.34
73.00	526.62
74.00	465.77
75.00	496.19
76.00	503.22
77.00	416.62
78.00	468.11
79.00	498.53
80.00	526.62
81.00	477.47
82.00	440.02
83.00	517.26
84.00	484.49
85.00	449.38
86.00	425.98
87.00	475.13
88.00	535.98
89.00	482.15
90.00	444.70
91.00	496.19
92.00	435.34
93.00	477.47
94.00	451.72
95.00	456.40
96.00	491.51
97.00	458.74
98.00	430.66
99.00	486.83
100.00	496.19
101.00	535.98
102.00	472.79
103.00	416.62
104.00	538.32
105.00	430.66
106.00	550.03
107.00	507.90
108.00	538.32
109.00	543.00
110.00	606.20
111.00	559.39
112.00	479.81
113.00	540.66
114.00	486.83
115.00	409.59
116.00	465.77
117.00	456.40
118.00	461.09
119.00	521.94
120.00	526.62
121.00	550.03
122.00	493.85
123.00	543.00
124.00	550.03
125.00	519.60
126.00	566.41
127.00	451.72
128.00	514.92
129.00	543.00
130.00	580.45
131.00	489.17
132.00	503.22
133.00	493.85
134.00	561.73
135.00	475.13
136.00	528.96
137.00	463.43
138.00	430.66
139.00	500.87
140.00	547.69
141.00	535.98
142.00	533.64
143.00	589.82
144.00	468.11
145.00	524.28
146.00	538.32
147.00	514.92
148.00	585.13
149.00	627.26
150.00	596.84
151.00	620.24
152.00	554.71
153.00	589.82
154.00	545.34
155.00	582.79
156.00	596.84
157.00	521.94
158.00	564.07
159.00	589.82
160.00	507.90
161.00	589.82
162.00	571.09
163.00	671.73
164.00	587.47
165.00	641.31
166.00	638.97
167.00	688.12
168.00	650.67
169.00	674.07
170.00	613.22
171.00	601.52
172.00	727.91
173.00	662.37
174.00	667.05
175.00	702.16
176.00	807.48
177.00	812.17
178.00	716.20
179.00	765.36
180.00	718.54
181.00	805.14
182.00	760.67
183.00	744.29
184.00	772.38
185.00	781.74
186.00	723.23
187.00	849.61
188.00	819.19
189.00	919.83
190.00	926.85
191.00	1167.93
192.00	1528.37
193.00	2345.22
194.00	3894.65
195.00	6387.32
196.00	8807.44
197.00	9846.63
198.00	9294.27
